N,J,h,mean_R_sq,err_mean_R_sq,mean_R_gyr_sq,err_mean_R_gyr_sq,mean_e,err_mean_e,mean_e_sq,err_mean_e_sq,mean_e_fourth,err_mean_e_fourth,mean_m,err_mean_m,mean_m_sq,err_mean_m_sq,mean_m_fourth,err_mean_m_fourth,steps
2400,0.52,0,38804,323,0.0,,-1.6773,0.000412974,2.8179,0.00138771,7.99222,0.00787909,0.121235,0.000149926,0.0229426,5.51445e-05,0.00153948,7.37515e-06,347310000000
4800,0.52,0,111324,2228,0.0,,-1.68017,0.000792424,2.82541,0.00264164,8.01009,0.0149915,0.0862826,0.000210349,0.0116625,5.69077e-05,0.000403751,4.07425e-06,273570000000
6000,0.52,0,154415,4788,0.0,,-1.68155,0.0010316,2.82958,0.00343067,8.02843,0.0191566,0.0776687,0.000237033,0.00945207,5.69341e-05,0.00026553,3.20744e-06,211260000000
7200,0.52,0,211131,9240,0.0,,-1.68027,0.00133129,2.82504,0.00434711,7.99996,0.0238768,0.0706558,0.000257449,0.00783193,5.71115e-05,0.000183237,2.68448e-06,183910000000
100,0.53,0,396,22,0.0,,-1.60072,0.000407666,2.63994,0.00132322,7.78317,0.00791008,0.454685,0.000436946,0.283407,0.000464176,0.15456,0.000386696,50020000000
300,0.53,0,1678,45,0.0,,-1.71622,0.000379605,2.97933,0.00131589,9.28393,0.00825376,0.349802,0.000410338,0.177208,0.000349629,0.0705658,0.000227822,51630000000
600,0.53,0,4254,73,0.0,,-1.75767,0.000588976,3.10906,0.00208432,9.91325,0.0133271,0.281825,0.000495864,0.118845,0.000375278,0.0352094,0.000194389,53000000000
1200,0.53,0,11020,144,0.0,,-1.78246,0.000870537,3.18824,0.0030541,10.3074,0.0191638,0.21763,0.000599627,0.0726859,0.000380178,0.0144144,0.000143625,53330000000
2400,0.53,0,30039,287,0.0,,-1.79542,0.00101044,3.22933,0.00362356,10.5042,0.0234277,0.161188,0.0005385,0.040383,0.000262994,0.00468548,5.72784e-05,312230000000
4800,0.53,0,82548,1771,0.0,,-1.80354,0.00085443,3.25579,0.00307491,10.6395,0.0200121,0.116874,0.000383564,0.0213524,0.000134572,0.00133968,1.68991e-05,264670000000
6000,0.53,0,121963,3912,0.0,,-1.80254,0.00118134,3.25164,0.00424526,10.6056,0.0275971,0.105046,0.000501038,0.0172775,0.000164457,0.00088346,1.69127e-05,225240000000
